FileName	Ser	Meas 	Sal. 	Cond. 	Temp 	 %O2 	mg/l	Density	SounVel	Press  	YYYY	MM	DD	HH	MM	SS
R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	1	0.03	31.202	0.00	0.00	-4.699	1511.88	0.00	2022	11	7	4	33	38

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	2	0.02	31.202	0.00	0.00	-4.701	1511.87	0.00	2022	11	7	4	33	40

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	3	0.03	31.223	0.00	0.00	-4.705	1511.92	0.00	2022	11	7	4	33	42

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	4	0.03	31.244	0.00	0.00	-4.712	1511.97	0.00	2022	11	7	4	33	44

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	5	0.03	31.258	0.00	0.00	-4.714	1512.00	0.01	2022	11	7	4	33	46

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	6	0.02	31.270	0.00	0.00	-4.723	1512.02	0.05	2022	11	7	4	33	48

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	7	0.02	31.284	0.00	0.00	-4.727	1512.06	0.00	2022	11	7	4	33	50

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	8	0.02	31.287	0.00	0.00	-4.728	1512.06	0.02	2022	11	7	4	33	52

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	9	0.02	31.279	0.00	0.00	-4.726	1512.04	0.01	2022	11	7	4	33	54

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	10	0.02	31.262	0.00	0.00	-4.723	1512.00	0.00	2022	11	7	4	33	56

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	11	0.03	31.265	0.00	0.00	-4.716	1512.02	0.00	2022	11	7	4	33	58

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	12	0.02	31.274	0.00	0.00	-4.724	1512.03	0.00	2022	11	7	4	34	0

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	13	0.02	31.298	0.00	0.00	-4.731	1512.09	0.00	2022	11	7	4	34	2

R:\Projects\2022075\Navigation\TS_Dips\TS-dip01_7Nov22\ts dip 07.11.2022	1	14	0.02	31.298	0.00	0.00	-4.731	1512.08	0.00	2022	11	7	4	34	4

