,SoS,Depth
0,1540.06,2.36
1,1540.16,2.65
2,1540.17,2.71
3,1540.18,2.81
4,1540.19,2.84
5,1540.19,2.86
6,1540.2,2.99
7,1540.19,2.95
8,1540.19,3.03
9,1540.2,3.01
10,1540.19,2.98
11,1540.19,2.95
12,1540.19,2.99
13,1540.19,2.98
14,1540.19,2.99
15,1540.19,3.04
16,1540.19,2.95
17,1540.19,3.09
18,1540.18,2.97
19,1540.2,3.56
20,1540.21,4.4
21,1540.22,5.59
22,1540.23,6.82
23,1540.26,8.16
24,1540.35,9.58
25,1540.42,10.71
26,1540.49,10.99
27,1540.52,10.82
28,1540.52,10.93
29,1540.62,11.54
30,1541.08,12.52
31,1541.07,13.37
32,1541.01,14.27
33,1541.05,15.38
34,1541.2,17.58
35,1541.43,19.85
36,1541.44,22.1
37,1541.76,24.39
38,1541.85,26.62
39,1541.95,28.9
40,1542.03,31.19
41,1542.09,33.43
42,1542.14,35.6
43,1542.12,37.86
44,1542.07,39.99
45,1541.9,42.17
46,1541.84,44.45
47,1541.74,46.58
48,1541.64,48.73
49,1541.6,51.02
50,1541.46,53.01
51,1541.28,55.25
52,1541.02,57.36
53,1540.94,59.51
54,1540.88,61.83
55,1540.69,63.99
56,1540.31,66.31
57,1539.86,68.49
58,1539.71,70.79
59,1539.6,73.04
60,1539.55,75.23
61,1539.45,77.54
62,1538.84,79.72
63,1538.47,82.02
64,1538.09,84.22
65,1537.88,86.5
66,1537.72,88.74
67,1537.46,91.07
68,1536.74,93.3
69,1535.11,95.54
70,1534.44,97.84
71,1533.46,100.11
72,1532.17,102.44
73,1530.98,104.81
74,1530.34,107.12
75,1529.74,109.43
76,1529.61,111.73
77,1529.16,114.0
78,1528.48,116.38
79,1527.56,118.65
80,1526.85,121.0
81,1525.88,123.32
82,1525.22,125.62
83,1524.54,127.87
84,1523.7,130.07
85,1523.11,132.4
86,1522.34,134.6
87,1521.49,136.87
88,1520.85,139.09
89,1519.73,141.17
90,1519.2,143.38
91,1518.5,145.58
92,1517.64,147.73
93,1517.43,149.97
94,1517.18,152.09
95,1516.96,154.17
96,1516.71,156.34
97,1516.27,158.51
98,1515.23,160.6
99,1514.15,162.8
100,1513.61,165.0
101,1513.37,167.15
102,1512.9,169.35
103,1512.22,171.47
104,1511.63,173.68
105,1511.0,175.76
106,1510.48,178.05
107,1510.36,180.14
108,1510.28,182.38
109,1509.61,184.48
110,1509.15,186.62
111,1508.75,188.77
112,1508.48,190.98
113,1507.99,193.14
114,1507.63,195.31
115,1507.19,197.4
116,1506.54,199.52
117,1506.14,201.65
118,1505.76,203.74
119,1505.6,205.94
120,1505.63,208.08
121,1505.63,210.26
122,1505.59,212.38
123,1505.33,214.56
124,1505.11,216.7
125,1504.73,218.86
126,1504.45,220.99
127,1504.19,223.12
128,1504.18,225.14
129,1504.03,227.29
130,1503.92,229.37
131,1503.83,231.53
132,1503.86,233.64
133,1503.85,235.78
134,1503.77,237.93
135,1503.51,240.08
136,1503.39,242.18
137,1503.23,244.4
138,1503.16,246.48
139,1503.11,248.68
140,1503.06,250.84
141,1502.91,253.03
142,1502.81,255.22
143,1502.73,257.4
144,1502.66,259.57
145,1502.54,261.7
146,1502.5,263.96
147,1502.48,266.13
148,1502.48,268.37
149,1502.44,270.49
150,1502.37,272.76
151,1502.3,274.95
152,1502.21,277.17
153,1502.16,279.27
154,1502.11,281.47
155,1502.07,283.68
156,1502.01,285.89
157,1501.97,288.08
158,1501.9,290.27
159,1501.84,292.39
160,1501.81,294.66
161,1501.75,296.86
162,1501.7,298.91
163,1501.66,301.12
164,1501.64,303.26
165,1501.59,305.41
166,1501.55,307.59
167,1501.54,309.7
168,1501.5,311.83
169,1501.51,313.94
170,1501.51,316.13
171,1501.47,318.36
172,1501.42,320.55
173,1501.34,322.7
174,1501.3,324.83
175,1501.16,327.09
176,1501.01,329.27
177,1500.94,331.53
178,1500.95,333.66
179,1500.88,335.87
180,1500.85,338.07
181,1500.81,340.31
182,1500.82,342.49
183,1500.84,344.7
184,1500.82,346.92
185,1500.84,349.12
186,1500.8,351.34
187,1500.74,353.6
188,1500.73,355.81
189,1500.67,357.97
190,1500.7,360.23
191,1500.7,362.42
192,1500.69,364.56
193,1500.68,366.81
194,1500.67,368.86
195,1500.59,371.15
196,1500.44,373.26
197,1500.41,375.47
198,1500.36,377.66
199,1500.35,379.7
200,1500.39,381.82
201,1500.37,383.99
202,1500.39,386.09
203,1500.37,388.26
204,1500.32,390.3
205,1500.31,392.37
206,1500.34,394.45
207,1500.33,396.56
208,1500.32,398.7
209,1500.33,400.8
210,1500.33,402.99
211,1500.33,405.12
212,1500.29,407.34
213,1500.3,409.4
214,1500.25,411.49
215,1500.21,413.83
216,1500.2,415.92
217,1500.22,418.14
218,1500.25,420.28
219,1500.22,422.54
220,1500.21,424.74
221,1500.14,426.95
222,1500.1,429.15
223,1500.08,431.38
224,1500.08,433.58
225,1500.06,435.84
226,1500.01,438.03
227,1500.01,440.22
228,1500.04,442.46
229,1500.04,444.69
230,1500.02,446.98
231,1499.98,449.2
232,1499.92,451.29
233,1499.85,453.54
234,1499.78,455.73
235,1499.68,458.0
236,1499.61,460.28
237,1499.61,462.41
238,1499.61,464.56
239,1499.6,466.75
240,1499.57,468.98
241,1499.56,471.23
242,1499.58,473.42
243,1499.62,475.52
244,1499.61,477.63
245,1499.58,479.79
246,1499.59,482.02
247,1499.61,484.22
248,1499.58,486.41
249,1499.44,488.67
250,1499.35,490.77
251,1499.3,493.04
252,1499.23,495.26
253,1499.25,497.57
254,1499.18,499.82
255,1499.11,502.02
256,1499.03,504.24
257,1499.0,506.38
258,1499.03,508.64
259,1499.05,510.93
260,1499.02,513.29
261,1498.96,515.52
262,1498.9,517.79
263,1498.91,519.92
264,1498.93,522.21
265,1498.91,524.47
266,1498.86,526.72
267,1498.84,529.11
268,1498.78,531.28
269,1498.7,533.58
270,1498.63,535.69
271,1498.57,538.1
272,1498.51,540.27
273,1498.4,542.53
274,1498.31,544.77
275,1498.24,546.91
276,1498.11,549.14
277,1498.05,551.41
278,1497.98,553.48
279,1497.88,555.78
280,1497.82,557.87
281,1497.82,560.03
282,1497.84,562.12
283,1497.87,564.26
284,1497.88,566.47
285,1497.87,568.57
286,1497.77,570.8
287,1497.72,572.94
288,1497.72,575.17
289,1497.73,577.49
290,1497.66,579.67
291,1497.66,581.87
292,1497.65,584.18
293,1497.62,586.36
294,1497.61,588.62
295,1497.6,590.87
296,1497.61,593.12
297,1497.61,595.36
298,1497.58,597.62
299,1497.59,599.88
300,1497.56,602.15
301,1497.51,604.42
302,1497.43,606.76
303,1497.36,608.94
304,1497.37,611.33
305,1497.36,613.48
306,1497.26,615.78
307,1497.26,618.05
308,1497.23,620.39
309,1497.11,622.61
310,1497.05,624.86
311,1497.07,627.1
312,1497.08,629.47
313,1497.1,631.72
314,1497.15,634.04
315,1497.15,636.24
316,1497.16,638.54
317,1497.08,640.83
318,1497.05,642.99
319,1497.08,645.23
320,1497.1,647.47
321,1497.08,649.7
322,1496.99,651.98
323,1496.92,654.17
324,1496.85,656.5
325,1496.83,658.71
326,1496.82,661.01
327,1496.83,663.29
328,1496.84,665.48
329,1496.82,667.74
330,1496.79,670.06
331,1496.76,672.42
332,1496.73,674.67
333,1496.75,676.89
334,1496.74,679.14
335,1496.68,681.42
336,1496.68,683.78
337,1496.64,686.05
338,1496.6,688.38
339,1496.62,690.55
340,1496.61,692.89
341,1496.59,695.19
342,1496.61,697.48
343,1496.6,699.73
344,1496.56,702.05
345,1496.52,704.24
346,1496.51,706.57
347,1496.5,708.85
348,1496.49,711.03
349,1496.49,713.32
350,1496.5,715.61
351,1496.5,717.93
352,1496.37,720.08
353,1496.27,722.24
354,1496.28,724.52
355,1496.27,726.78
356,1496.28,728.9
357,1496.26,731.17
358,1496.19,733.23
359,1496.15,735.41
360,1496.11,737.53
361,1496.11,739.89
362,1496.04,741.89
363,1496.06,744.21
364,1496.05,746.33
365,1496.01,748.63
366,1496.0,750.81
367,1495.99,753.07
368,1496.0,755.21
369,1496.04,757.51
370,1496.03,759.7
371,1496.01,762.0
372,1495.97,764.16
373,1495.9,766.51
374,1495.86,768.77
375,1495.82,770.95
376,1495.81,773.31
377,1495.81,775.48
378,1495.78,777.89
379,1495.75,780.13
380,1495.78,782.41
381,1495.79,784.62
382,1495.81,786.89
383,1495.81,789.3
384,1495.78,791.45
385,1495.75,793.85
386,1495.76,796.11
387,1495.75,798.38
388,1495.72,800.6
389,1495.68,802.92
390,1495.63,805.18
391,1495.66,807.42
392,1495.68,809.72
393,1495.59,811.9
394,1495.5,814.21
395,1495.44,816.42
396,1495.33,818.65
397,1495.27,820.92
398,1495.23,823.09
399,1495.15,825.28
400,1495.14,827.6
401,1495.1,829.73
402,1495.1,832.08
403,1495.07,834.21
404,1495.05,836.54
405,1495.01,838.79
406,1494.98,841.03
407,1494.9,843.34
408,1494.83,845.54
409,1494.82,847.76
410,1494.82,850.16
411,1494.84,852.42
412,1494.86,854.63
413,1494.87,856.95
414,1494.87,859.17
415,1494.85,861.43
416,1494.87,863.8
417,1494.86,866.0
418,1494.87,868.29
419,1494.89,870.47
420,1494.91,872.78
421,1494.91,875.04
422,1494.93,877.33
423,1494.92,879.61
424,1494.91,881.81
425,1494.8,884.05
426,1494.76,886.35
427,1494.77,888.56
428,1494.8,890.81
429,1494.82,893.02
430,1494.78,895.25
431,1494.77,897.36
432,1494.74,899.72
433,1494.69,901.76
434,1494.69,903.98
435,1494.67,906.14
436,1494.63,908.25
437,1494.6,910.42
438,1494.59,912.62
439,1494.49,914.72
440,1494.48,916.84
441,1494.49,919.08
442,1494.46,921.16
443,1494.45,923.49
444,1494.43,925.6
445,1494.46,927.87
446,1494.44,930.01
447,1494.36,932.25
448,1494.32,934.4
449,1494.35,936.74
450,1494.38,938.93
451,1494.39,941.15
452,1494.39,943.42
453,1494.31,945.56
454,1494.21,947.84
455,1494.11,950.19
456,1494.13,952.38
457,1494.15,954.67
458,1494.17,956.85
459,1494.13,959.15
460,1494.13,961.33
461,1494.11,963.71
462,1494.06,965.89
463,1494.04,968.08
464,1494.0,970.39
465,1493.98,972.59
466,1493.98,974.79
467,1493.99,977.02
468,1493.99,979.36
469,1494.0,981.57
470,1494.0,983.78
471,1494.02,985.96
472,1494.03,988.15
473,1494.01,990.35
474,1493.92,992.67
475,1493.89,994.8
476,1493.88,996.9
477,1493.88,999.22
478,1493.88,1001.29
479,1493.85,1003.57
480,1493.85,1005.74
481,1493.84,1008.02
482,1493.85,1010.23
483,1493.85,1012.46
484,1493.81,1014.64
485,1493.73,1016.84
486,1493.68,1019.06
487,1493.7,1021.36
488,1493.67,1023.58
489,1493.6,1025.83
490,1493.57,1028.06
491,1493.56,1030.22
492,1493.57,1032.49
493,1493.55,1034.74
494,1493.55,1036.95
495,1493.6,1039.27
496,1493.62,1041.35
497,1493.62,1043.65
498,1493.65,1045.88
499,1493.65,1048.14
500,1493.67,1050.32
501,1493.68,1052.51
502,1493.69,1054.71
503,1493.67,1056.96
504,1493.72,1059.06
505,1493.75,1061.31
506,1493.77,1063.41
507,1493.81,1065.62
508,1493.81,1067.86
509,1493.81,1069.98
510,1493.83,1072.02
511,1493.87,1074.22
512,1493.86,1076.32
513,1493.79,1078.53
514,1493.74,1080.63
515,1493.72,1082.74
516,1493.73,1084.72
517,1493.74,1086.91
518,1493.73,1089.06
519,1493.75,1091.24
520,1493.79,1093.33
521,1493.84,1095.36
522,1493.85,1097.59
523,1493.86,1099.77
524,1493.89,1101.82
525,1493.78,1104.16
526,1493.72,1106.19
527,1493.7,1108.32
528,1493.69,1110.45
529,1493.69,1111.28
530,1493.72,1111.82
