Easting	Northing
288673.82	753826.84
316144.26	737838.67
315748.13	737158.05
316137.05	736931.69
315740.92	736251.07
316129.85	736024.72
315733.72	735344.10
329734.97	727195.18
329338.84	726514.56
329727.77	726288.20
329331.64	725607.58
329720.56	725381.23
329324.43	724700.61
329713.36	724474.25
329317.23	723793.63
329706.15	723567.27
329310.03	722886.66
329698.95	722660.30
329302.82	721979.68
329691.74	721753.32
329295.62	721072.71
329684.54	720846.35
329288.41	720165.73
329677.34	719939.37
329281.21	719258.76
329670.13	719032.40
329274.00	718351.78
329676.43	718117.56
329280.30	717436.95
329669.23	717210.59
329273.10	716529.97
329662.02	716303.61
329265.89	715623.00
329654.82	715396.64
329258.69	714716.02
329647.61	714489.66
329251.48	713809.04
329640.41	713582.69
329244.28	712902.07
329633.20	712675.71
329237.08	711995.09
329626.00	711768.73
329229.87	711088.12
329618.79	710861.76
329222.67	710181.14
329627.79	709945.35
329231.67	709264.74
329620.59	709038.38
329224.46	708357.76
329613.39	708131.40
329217.26	707450.79
329606.18	707224.43
329210.05	706543.81
329598.98	706317.45
329202.85	705636.83
332414.17	703767.80
332018.04	703087.18
332998.45	702516.57
332602.32	701835.96
333147.90	701518.42
332751.77	700837.81
333256.83	700543.85
332860.70	699863.24
333249.63	699636.88
332853.50	698956.26
333255.93	698722.04
332859.80	698041.43
333248.72	697815.07
332852.59	697134.45
333257.72	696898.66
332861.59	696218.05
333250.52	695991.69
332854.39	695311.07
333256.82	695076.85
332860.69	694396.24
333249.61	694169.88
332853.48	693489.26
333255.91	693255.04
332859.78	692574.42
333191.99	692381.08
332795.86	691700.46
333128.07	691507.11
332731.94	690826.50
333061.44	690634.72
332665.32	689954.10
332984.02	689768.61
332587.89	689088.00
332917.39	688896.22
332521.27	688215.60
332853.47	688022.26
332457.34	687341.64
332789.55	687148.29
332393.42	686467.68
332722.92	686275.90
332326.80	685595.28
332659.00	685401.93
332262.87	684721.32
332595.08	684527.97
332198.95	683847.35
332528.46	683655.58
332132.33	682974.96
332507.75	682756.46
332111.62	682075.84
332514.05	681841.63
332117.92	681161.01
332523.05	680925.22
332126.92	680244.60
332542.85	680002.52
332146.72	679321.91
332535.65	679095.55
332139.52	678414.93
332528.44	678188.57
332132.31	677507.96
332537.44	677272.17
332141.32	676591.55
332530.24	676365.19
332134.11	675684.57
332523.03	675458.22
332126.91	674777.60
332515.83	674551.24
332119.70	673870.62
332508.63	673644.27
332112.50	672963.65
332501.42	672737.29
332105.29	672056.67
332494.22	671830.31
332098.09	671149.70
332487.01	670923.34
332090.88	670242.72
332134.10	670217.57
331737.97	669536.96
331681.25	669569.97
331285.12	668889.35
331225.70	668923.93
330829.58	668243.32
330772.86	668276.33
330376.73	667595.71
330320.01	667628.72
329923.88	666948.10
329864.46	666982.69
329468.34	666302.07
329411.62	666335.08
329015.49	665654.46
328958.77	665687.48
328562.64	665006.86
328503.22	665041.44
328107.10	664360.83
328050.38	664393.84
327654.25	663713.22
327597.53	663746.23
327201.40	663065.61
327141.98	663100.20
326745.86	662419.58
326689.14	662452.59
326293.01	661771.97
326249.80	661797.13
325853.67	661116.51
325796.95	661149.52
325400.82	660468.90
325341.40	660503.49
324945.28	659822.87
324888.56	659855.88
324492.43	659175.26
324435.71	659208.27
324039.58	658527.66
323980.16	658562.24
323584.04	657881.62
276767.35	685129.59
277163.48	685810.20
276272.19	686328.94
276668.32	687009.56
276206.48	687278.36
276602.60	687958.98
276286.60	688142.89
276682.73	688823.51
276407.24	688983.85
276803.37	689664.46
276630.52	689765.07
277422.77	691126.30
277438.98	691116.87
278231.24	692478.10
278244.74	692470.24
279037.00	693831.47
279050.50	693823.61
279842.76	695184.85
279858.96	695175.42
280255.09	695856.03
280268.59	695848.17
281060.85	697209.40
281074.36	697201.55
281866.61	698562.78
281018.54	699056.37
281414.67	699736.98
279972.41	700576.40
280368.54	701257.01
279590.69	701709.73
279986.82	702390.35
279614.10	702607.28
280010.23	703287.89
279707.73	703463.95
280103.86	704144.57
279871.59	704279.75
280267.72	704960.37
280081.36	705068.83
280477.49	705749.45
280304.63	705850.05
280700.76	706530.67
280657.55	706555.82
281053.67	707236.44
281023.96	707253.73
281420.09	707934.34
281406.59	707942.20
281802.72	708622.82
281773.01	708640.11
282169.14	709320.73
282155.63	709328.59
282551.76	710009.20
282522.05	710026.50
282918.18	710707.11
282891.17	710722.83
283287.30	711403.45
283271.09	711412.88
283667.22	712093.50
283640.21	712109.21
284036.34	712789.83
284020.14	712799.26
284416.26	713479.88
284389.25	713495.60
284785.38	714176.21
284769.18	714185.65
285165.31	714866.26
285138.30	714881.98
285534.43	715562.60
285518.22	715572.03
285914.35	716252.65
285887.34	716268.37
286283.47	716948.98
286267.26	716958.41
286663.39	717639.03
286636.38	717654.75
287032.51	718335.37
287016.31	718344.80
287412.43	719025.41
287385.43	719041.13
287781.55	719721.75
287765.35	719731.18
288161.48	720411.80
288134.47	720427.52
288530.60	721108.13
288514.39	721117.57
288910.52	721798.18
288883.51	721813.90
289279.64	722494.52
289263.43	722503.95
289659.56	723184.57
289632.55	723200.29
290028.68	723880.90
290012.48	723890.33
290408.60	724570.95
290381.60	724586.67
290777.72	725267.29
290748.01	725284.58
291144.14	725965.19
291130.64	725973.05
291526.77	726653.67
291497.06	726670.96
291893.19	727351.58
291879.68	727359.44
292275.81	728040.05
292246.10	728057.34
292642.23	728737.96
292628.72	728745.82
293024.85	729426.44
292995.14	729443.73
293391.27	730124.34
293377.77	730132.20
293773.89	730812.82
293744.19	730830.11
294140.31	731510.73
294126.81	731518.59
294522.94	732199.20
294493.23	732216.50
294889.36	732897.11
294875.85	732904.97
295271.98	733585.59
295242.27	733602.88
295638.40	734283.50
295624.89	734291.36
296021.02	734971.97
295991.31	734989.26
296387.44	735669.88
286145.79	741630.67
286541.91	742311.28
285275.21	743048.52
285671.34	743729.14
285023.13	744106.40
285419.26	744787.02
284914.20	745080.97
285310.33	745761.59
284964.62	745962.80
285360.75	746643.41
285015.04	746844.62
285411.17	747525.24
285281.52	747600.69
285677.65	748281.31
285647.94	748298.60
286044.07	748979.21
286030.57	748987.07
286426.69	749667.69
286396.99	749684.98
286793.11	750365.60
286779.61	750373.46
287175.74	751054.07
287146.03	751071.36
287542.16	751751.98
287528.65	751759.84
287924.78	752440.46
287895.07	752457.75
288291.20	753138.36
288277.69	753146.22
288673.82	753826.84
